species	module	expected_gene	locus_id	pep_status	cds_status	pep_id	cds_id
Arabidopsis_thaliana	anthocyanin_core	CHS	AT5G13930	present	present	AT5G13930.1	AT5G13930.1
Arabidopsis_thaliana	anthocyanin_core	CHI	AT3G55120	present	present	AT3G55120.1	AT3G55120.1
Arabidopsis_thaliana	anthocyanin_core	F3H	AT3G51240	present	present	AT3G51240.1	AT3G51240.1
Arabidopsis_thaliana	anthocyanin_core	F3H/F3'H	AT5G07990	present	present	AT5G07990.1	AT5G07990.1
Arabidopsis_thaliana	anthocyanin_core	DFR	AT5G42800	present	present	AT5G42800.1	AT5G42800.1
Arabidopsis_thaliana	anthocyanin_core	ANS	AT4G22880	present	present	AT4G22880.1	AT4G22880.1
Arabidopsis_thaliana	anthocyanin_core	UGT78D2	AT5G17050	present	present	AT5G17050.1	AT5G17050.1
Arabidopsis_thaliana	transport_storage	TT19	AT5G17220	present	present	AT5G17220.1	AT5G17220.1
Arabidopsis_thaliana	transport_storage	TT12	AT3G59030	present	present	AT3G59030.1	AT3G59030.1
Arabidopsis_thaliana	regulatory	TT2	AT5G35550	present	present	AT5G35550.2	AT5G35550.2
Arabidopsis_thaliana	regulatory	TT8	AT4G09820	present	present	AT4G09820.1	AT4G09820.1
Arabidopsis_thaliana	regulatory	TTG1	AT5G24520	present	present	AT5G24520.1	AT5G24520.1
Arabidopsis_thaliana	regulatory	TTG2	AT2G37260	present	present	AT2G37260.1	AT2G37260.1
Arabidopsis_thaliana	regulatory	PAP1	AT1G56650	present	present	AT1G56650.1	AT1G56650.1
Arabidopsis_thaliana	regulatory	PAP2	AT1G66390	present	present	AT1G66390.1	AT1G66390.1
Arabidopsis_thaliana	regulatory	GL3	AT5G41315	present	present	AT5G41315.2	AT5G41315.2
Arabidopsis_thaliana	regulatory	EGL3	AT1G63650	present	present	AT1G63650.1	AT1G63650.1
