gene_id	fasta_id	transcript_id	protein_id	locus_id	gene_symbol	aliases
AT5G13930	AT5G13930.1	AT5G13930.1	AT5G13930.1	AT5G13930	CHS	TT4; ATCHS
AT3G55120	AT3G55120.1	AT3G55120.1	AT3G55120.1	AT3G55120	CHI	TT5; A11; CFI
AT3G51240	AT3G51240.1	AT3G51240.1	AT3G51240.1	AT3G51240	F3H	TT6
AT5G07990	AT5G07990.1	AT5G07990.1	AT5G07990.1	AT5G07990	F3primeH	TT7; CYP75B1; D501
AT5G42800	AT5G42800.1	AT5G42800.1	AT5G42800.1	AT5G42800	DFR	TT3; M318
AT4G22880	AT4G22880.1	AT4G22880.1	AT4G22880.1	AT4G22880	ANS	LDOX; TDS4; TT18
AT5G17050	AT5G17050.1	AT5G17050.1	AT5G17050.1	AT5G17050	UGT78D2	UDP-glucosyl transferase 78D2
AT5G17220	AT5G17220.1	AT5G17220.1	AT5G17220.1	AT5G17220	TT19	ATGSTF12; GST26; GSTF12
AT3G59030	AT3G59030.1	AT3G59030.1	AT3G59030.1	AT3G59030	TT12	ATTT12
AT5G35550	AT5G35550.1	AT5G35550.1	AT5G35550.1	AT5G35550	TT2	ATMYB123; MYB123; ATTT2
AT4G09820	AT4G09820.1	AT4G09820.1	AT4G09820.1	AT4G09820	TT8	BHLH42
AT5G24520	AT5G24520.1	AT5G24520.1	AT5G24520.1	AT5G24520	TTG1	TTG; URM23; ATTTG1
AT2G37260	AT2G37260.1	AT2G37260.1	AT2G37260.1	AT2G37260	TTG2	ATWRKY44; WRKY44; DSL1
AT1G56650	AT1G56650.1	AT1G56650.1	AT1G56650.1	AT1G56650	PAP1	MYB75; SIAA1; ATMYB75
AT1G66390	AT1G66390.1	AT1G66390.1	AT1G66390.1	AT1G66390	PAP2	ATMYB90; MYB90
AT5G41315	AT5G41315.1	AT5G41315.1	AT5G41315.1	AT5G41315	GL3	MYC6.2
AT1G63650	AT1G63650.1	AT1G63650.1	AT1G63650.1	AT1G63650	EGL3	EGL1; ATMYC-2
