gene_id	fasta_id	species	source	gene_symbol	aliases	annotation_text	ko	ec	pfam	interpro	go	mapman_bin	best_hit	evalue	bitscore	evidence_level	notes
AT5G13930	AT5G13930.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	CHS	TT4; ATCHS	Chalcone and stilbene synthase family protein										known_demo	early flavonoid pathway enzyme
AT3G55120	AT3G55120.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	CHI	TT5; A11; CFI	Chalcone-flavanone isomerase family protein										known_demo	early flavonoid pathway enzyme
AT3G51240	AT3G51240.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	F3H	TT6	flavanone 3-hydroxylase										known_demo	early flavonoid pathway enzyme
AT5G07990	AT5G07990.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	F3primeH	TT7; CYP75B1; D501	Cytochrome P450 superfamily protein										known_demo	hydroxylation branch gene; symbol normalized as F3primeH
AT5G42800	AT5G42800.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	DFR	TT3; M318	dihydroflavonol 4-reductase										known_demo	late anthocyanin pathway enzyme
AT4G22880	AT4G22880.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	ANS	LDOX; TDS4; TT18	leucoanthocyanidin dioxygenase										known_demo	late anthocyanin pathway enzyme
AT5G17050	AT5G17050.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	UGT78D2	UDP-glucosyl transferase 78D2	UDP-glucosyl transferase 78D2										known_demo	anthocyanin/flavonoid glycosylation candidate
AT5G17220	AT5G17220.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TT19	ATGSTF12; GST26; GSTF12	glutathione S-transferase phi 12										known_demo	transport/storage-associated candidate
AT3G59030	AT3G59030.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TT12	ATTT12	MATE efflux family protein										known_demo	MATE transporter candidate
AT5G35550	AT5G35550.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TT2	ATMYB123; MYB123; ATTT2	Duplicated homeodomain-like superfamily protein										known_demo	regulatory candidate
AT4G09820	AT4G09820.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TT8	BHLH42	basic helix-loop-helix (bHLH) DNA-binding superfamily protein										known_demo	regulatory candidate
AT5G24520	AT5G24520.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TTG1	TTG; URM23; ATTTG1	Transducin/WD40 repeat-like superfamily protein										known_demo	regulatory candidate
AT2G37260	AT2G37260.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	TTG2	ATWRKY44; WRKY44; DSL1	WRKY family transcription factor family protein										known_demo	regulatory candidate
AT1G56650	AT1G56650.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	PAP1	MYB75; SIAA1; ATMYB75	production of anthocyanin pigment 1										known_demo	regulatory candidate
AT1G66390	AT1G66390.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	PAP2	ATMYB90; MYB90	myb domain protein 90										known_demo	regulatory candidate
AT5G41315	AT5G41315.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	GL3	MYC6.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein										known_demo	regulatory candidate
AT1G63650	AT1G63650.1	Arabidopsis_thaliana	TAIR10_header_manual_demo	EGL3	EGL1; ATMYC-2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein										known_demo	regulatory candidate
