module	submodule	gene_symbol	aliases	keywords	ko	ec	pfam	go	required	notes
anthocyanin_demo	early_flavonoid	CHS	TT4; ATCHS	chalcone synthase; chalcone and stilbene synthase					yes	early flavonoid pathway enzyme
anthocyanin_demo	early_flavonoid	CHI	TT5; A11; CFI	chalcone isomerase; chalcone-flavanone isomerase					yes	early flavonoid pathway enzyme
anthocyanin_demo	early_flavonoid	F3H	TT6	flavanone 3-hydroxylase					yes	early flavonoid pathway enzyme
anthocyanin_demo	branch_modification	F3primeH	TT7; CYP75B1; D501	flavonoid 3'-hydroxylase; cytochrome P450					recommended	hydroxylation branch gene; symbol normalized as F3primeH
anthocyanin_demo	late_anthocyanin	DFR	TT3; M318	dihydroflavonol 4-reductase; dihydroflavonol reductase					yes	late anthocyanin pathway enzyme
anthocyanin_demo	late_anthocyanin	ANS	LDOX; TDS4; TT18	anthocyanidin synthase; leucoanthocyanidin dioxygenase					yes	late anthocyanin pathway enzyme
anthocyanin_demo	glycosylation	UGT78D2	UDP-glucosyl transferase 78D2	UDP-glucosyl transferase; flavonoid glucosyltransferase					recommended	anthocyanin/flavonoid glycosylation candidate
anthocyanin_demo	transport_storage	TT19	ATGSTF12; GST26; GSTF12	glutathione S-transferase; anthocyanin transport					recommended	transport/storage-associated candidate
anthocyanin_demo	transport_storage	TT12	ATTT12	MATE efflux; flavonoid transporter; anthocyanin transporter					recommended	MATE transporter candidate
anthocyanin_demo	regulation	TT2	ATMYB123; MYB123; ATTT2	R2R3-MYB; MYB transcription factor; proanthocyanidin regulator					recommended	regulatory candidate
anthocyanin_demo	regulation	TT8	BHLH42	basic helix-loop-helix; bHLH transcription factor					recommended	regulatory candidate
anthocyanin_demo	regulation	TTG1	TTG; URM23; ATTTG1	WD40 repeat; transducin; anthocyanin regulator					recommended	regulatory candidate
anthocyanin_demo	regulation	TTG2	ATWRKY44; WRKY44; DSL1	WRKY transcription factor; anthocyanin regulator					optional	regulatory candidate
anthocyanin_demo	regulation	PAP1	MYB75; SIAA1; ATMYB75	production of anthocyanin pigment 1; MYB75					recommended	regulatory candidate
anthocyanin_demo	regulation	PAP2	ATMYB90; MYB90	MYB90; production of anthocyanin pigment					optional	regulatory candidate
anthocyanin_demo	regulation	GL3	MYC6.2	basic helix-loop-helix; bHLH transcription factor					optional	regulatory candidate
anthocyanin_demo	regulation	EGL3	EGL1; ATMYC-2	basic helix-loop-helix; bHLH transcription factor					optional	regulatory candidate
