gene_id	locus_id	species	source	gene_symbol	aliases	annotation_text	chromosome	start	end	strand	sequence_length	raw_header
AT5G13930.1	AT5G13930	Arabidopsis_thaliana	Araport11_header	ATCHS	ATCHS;CHS;TT4	TRANSPARENT TESTA 4,CHALCONE SYNTHASE	5	4488762	4490035	+	395	AT5G13930.1 | Symbols:ATCHS,CHS,TT4 | TRANSPARENT TESTA 4,CHALCONE SYNTHASE |  Chr5:4488762-4490035 FORWARD LENGTH=395
AT3G55120.1	AT3G55120	Arabidopsis_thaliana	Araport11_header	CHI	CHI;AtCHI;A11;TT5;CFI	TRANSPARENT TESTA 5,CHALCONE FLAVANONE ISOMERASE,chalcone isomerase	3	20430248	20431415	-	246	AT3G55120.1 | Symbols:CHI,AtCHI,A11,TT5,CFI | TRANSPARENT TESTA 5,CHALCONE FLAVANONE ISOMERASE,chalcone isomerase |  Chr3:20430248-20431415 REVERSE LENGTH=246
AT3G51240.1	AT3G51240	Arabidopsis_thaliana	Araport11_header	F3'H	F3'H;F3H;TT6	TRANSPARENT TESTA 6,flavanone 3-hydroxylase	3	19025409	19026658	+	358	AT3G51240.1 | Symbols:F3'H,F3H,TT6 | TRANSPARENT TESTA 6,flavanone 3-hydroxylase |  Chr3:19025409-19026658 FORWARD LENGTH=358
AT5G07990.1	AT5G07990	Arabidopsis_thaliana	Araport11_header	CYP75B1	CYP75B1;TT7;D501	TRANSPARENT TESTA 7,CYTOCHROME P450 75B1	5	2560437	2562859	+	513	AT5G07990.1 | Symbols:CYP75B1,TT7,D501 | TRANSPARENT TESTA 7,CYTOCHROME P450 75B1 |  Chr5:2560437-2562859 FORWARD LENGTH=513
AT5G42800.1	AT5G42800	Arabidopsis_thaliana	Araport11_header	TT3	TT3;M318;DFR	dihydroflavonol 4-reductase	5	17164296	17165864	-	382	AT5G42800.1 | Symbols:TT3,M318,DFR | dihydroflavonol 4-reductase |  Chr5:17164296-17165864 REVERSE LENGTH=382
AT4G22880.1	AT4G22880	Arabidopsis_thaliana	Araport11_header	LDOX	LDOX;TT18;TDS4;ANS	leucoanthocyanidin dioxygenase,ANTHOCYANIDIN SYNTHASE,TANNIN DEFICIENT SEED 4	4	12004905	12006059	-	356	AT4G22880.1 | Symbols:LDOX,TT18,TDS4,ANS | leucoanthocyanidin dioxygenase,ANTHOCYANIDIN SYNTHASE,TANNIN DEFICIENT SEED 4 |  Chr4:12004905-12006059 REVERSE LENGTH=356
AT5G17050.1	AT5G17050	Arabidopsis_thaliana	Araport11_header	UGT78D2	UGT78D2	UDP-glucosyl transferase 78D2	5	5607828	5609392	-	460	AT5G17050.1 | Symbols:UGT78D2 | UDP-glucosyl transferase 78D2 |  Chr5:5607828-5609392 REVERSE LENGTH=460
AT5G17220.1	AT5G17220	Arabidopsis_thaliana	Araport11_header	GSTF12	GSTF12;GST26;TT19;ATGSTF12	glutathione S-transferase phi 12,GLUTATHIONE S-TRANSFERASE 26,ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE PHI 12,TRANSPARENT TESTA 19	5	5658528	5659322	+	214	AT5G17220.1 | Symbols:GSTF12,GST26,TT19,ATGSTF12 | glutathione S-transferase phi 12,GLUTATHIONE S-TRANSFERASE 26,ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE PHI 12,TRANSPARENT TESTA 19 |  Chr5:5658528-5659322 FORWARD LENGTH=214
AT3G59030.1	AT3G59030	Arabidopsis_thaliana	Araport11_header	ATTT12	ATTT12;TT12	A. THALIANA TRANSPARENT TESTA,TRANSPARENT TESTA 12	3	21819124	21821288	+	507	AT3G59030.1 | Symbols:ATTT12,TT12 | A. THALIANA TRANSPARENT TESTA,TRANSPARENT TESTA 12 |  Chr3:21819124-21821288 FORWARD LENGTH=507
AT5G35550.2	AT5G35550	Arabidopsis_thaliana	Araport11_header	TT2	TT2;ATTT2;MYB123;ATMYB123	MYB DOMAIN PROTEIN 123,TRANSPARENT TESTA 2	5	13726871	13727729	+	261	AT5G35550.2 | Symbols:TT2,ATTT2,MYB123,ATMYB123 | MYB DOMAIN PROTEIN 123,TRANSPARENT TESTA 2 |  Chr5:13726871-13727729 FORWARD LENGTH=261
