species	module	expected_gene	locus_id	pep_copy_number	cds_copy_number
Arabidopsis_thaliana	anthocyanin_core	CHS	AT5G13930	1	1
Arabidopsis_thaliana	anthocyanin_core	CHI	AT3G55120	1	1
Arabidopsis_thaliana	anthocyanin_core	F3H	AT3G51240	1	1
Arabidopsis_thaliana	anthocyanin_core	F3H/F3'H	AT5G07990	1	1
Arabidopsis_thaliana	anthocyanin_core	DFR	AT5G42800	1	1
Arabidopsis_thaliana	anthocyanin_core	ANS	AT4G22880	1	1
Arabidopsis_thaliana	anthocyanin_core	UGT78D2	AT5G17050	1	1
Arabidopsis_thaliana	transport_storage	TT19	AT5G17220	1	1
Arabidopsis_thaliana	transport_storage	TT12	AT3G59030	1	1
Arabidopsis_thaliana	regulatory	TT2	AT5G35550	1	1
Arabidopsis_thaliana	regulatory	TT8	AT4G09820	1	1
Arabidopsis_thaliana	regulatory	TTG1	AT5G24520	1	1
Arabidopsis_thaliana	regulatory	TTG2	AT2G37260	1	1
Arabidopsis_thaliana	regulatory	PAP1	AT1G56650	1	1
Arabidopsis_thaliana	regulatory	PAP2	AT1G66390	1	1
Arabidopsis_thaliana	regulatory	GL3	AT5G41315	1	1
Arabidopsis_thaliana	regulatory	EGL3	AT1G63650	1	1
