species	module	gene_symbol	copy_number	candidate_ids
Arabidopsis_thaliana	anthocyanin_demo	CHS	1	AT5G13930.1
Arabidopsis_thaliana	anthocyanin_demo	CHI	1	AT3G55120.1
Arabidopsis_thaliana	anthocyanin_demo	F3H	1	AT3G51240.1
Arabidopsis_thaliana	anthocyanin_demo	F3primeH	1	AT5G07990.1
Arabidopsis_thaliana	anthocyanin_demo	DFR	1	AT5G42800.1
Arabidopsis_thaliana	anthocyanin_demo	ANS	1	AT4G22880.1
Arabidopsis_thaliana	anthocyanin_demo	UGT78D2	1	AT5G17050.1
Arabidopsis_thaliana	anthocyanin_demo	TT19	1	AT5G17220.1
Arabidopsis_thaliana	anthocyanin_demo	TT12	1	AT3G59030.1
Arabidopsis_thaliana	anthocyanin_demo	TT2	1	AT5G35550.1
Arabidopsis_thaliana	anthocyanin_demo	TT8	1	AT4G09820.1
Arabidopsis_thaliana	anthocyanin_demo	TTG1	1	AT5G24520.1
Arabidopsis_thaliana	anthocyanin_demo	TTG2	1	AT2G37260.1
Arabidopsis_thaliana	anthocyanin_demo	PAP1	1	AT1G56650.1
Arabidopsis_thaliana	anthocyanin_demo	PAP2	1	AT1G66390.1
Arabidopsis_thaliana	anthocyanin_demo	GL3	1	AT5G41315.1
Arabidopsis_thaliana	anthocyanin_demo	EGL3	1	AT1G63650.1
