module	expected_gene	required	gene_id	species	annotation_gene_symbol	annotation_text	matched_fields	matched_values	evidence_count	status
cellulose_wall_core	CESA1	yes	TOY_WALL_CESA1	Arabidopsis_thaliana	CESA1	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam;symbol_or_alias	2.4.1.12;cellulose synthase;cellulose synthase a1;cesa1;go:0030244;ipr005150;k10999;pf03552	8	candidate
cellulose_wall_core	CESA1	yes	TOY_WALL_CESA3	Arabidopsis_thaliana	CESA3	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;cellulose synthase;go:0030244;ipr005150;k10999;pf03552	6	candidate
cellulose_wall_core	CESA1	yes	TOY_WALL_CESA6	Arabidopsis_thaliana	CESA6	cellulose synthase-like primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;cellulose synthase;go:0030244;ipr005150;k10999;pf03552	6	candidate
cellulose_wall_core	CESA3	yes	TOY_WALL_CESA1	Arabidopsis_thaliana	CESA1	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;cellulose synthase;go:0030244;ipr005150;k10999;pf03552;primary cell wall	7	candidate
cellulose_wall_core	CESA3	yes	TOY_WALL_CESA3	Arabidopsis_thaliana	CESA3	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam;symbol_or_alias	2.4.1.12;cellulose synthase;cellulose synthase a3;cesa3;go:0030244;ipr005150;k10999;pf03552;primary cell wall	9	candidate
cellulose_wall_core	CESA3	yes	TOY_WALL_CESA6	Arabidopsis_thaliana	CESA6	cellulose synthase-like primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;cellulose synthase;go:0030244;ipr005150;k10999;pf03552;primary cell wall	7	candidate
cellulose_wall_core	CESA6	no	TOY_WALL_CESA1	Arabidopsis_thaliana	CESA1	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;go:0030244;ipr005150;k10999;pf03552;primary cell wall	6	candidate
cellulose_wall_core	CESA6	no	TOY_WALL_CESA3	Arabidopsis_thaliana	CESA3	cellulose synthase primary cell wall	ec;go;interpro;keyword;ko;pfam	2.4.1.12;go:0030244;ipr005150;k10999;pf03552;primary cell wall	6	candidate
cellulose_wall_core	CESA6	no	TOY_WALL_CESA6	Arabidopsis_thaliana	CESA6	cellulose synthase-like primary cell wall	ec;go;interpro;keyword;ko;pfam;symbol_or_alias	2.4.1.12;cellulose synthase a6;cellulose synthase-like;cesa6;go:0030244;ipr005150;k10999;pf03552;primary cell wall	9	candidate
cellulose_wall_core	XTH	no	TOY_WALL_XTH	Arabidopsis_thaliana	XTH	xyloglucan endotransglucosylase cell wall remodeling	ec;go;interpro;keyword;ko;pfam;symbol_or_alias	2.4.1.207;cell wall remodeling;go:0016762;ipr016455;k08235;pf00722;xth;xyloglucan endotransglucosylase;xyloglucan endotransglucosylase hydrolase	9	candidate
cellulose_wall_core	EXP	no	TOY_WALL_EXP	Arabidopsis_thaliana	EXP	expansin cell wall loosening	go;interpro;keyword;ko;pfam;symbol_or_alias	cell wall loosening;exp;expansin;go:0009826;ipr007118;k01051;pf01357	7	candidate
